#AS47741 Geofeed
#Last Update:20241213
#prefix,country_code,region_code,city,postal
#FR
163.5.219.0/24,FR,FR-75,Paris,
163.5.248.0/24,FR,FR-75,Paris,
181.41.196.0/24,FR,FR-75,Paris,
163.5.233.0/24,FR,FR-75,Paris,
#JP
163.5.92.0/24,JP,JP-13,Tokyo,
212.42.221.0/24,JP,JP-13,Tokyo,
212.42.208.0/21,JP,JP-13,Tokyo,
212.42.216.0/22,JP,JP-13,Tokyo,
176.113.71.0/24,JP,JP-13,Tokyo,
#KR
212.42.208.0/20,KR,KR-11,Seoul,
#SG
202.155.144.0/24,SG,SG-01,Central Singapore,
202.155.145.0/24,SG,SG-01,Central Singapore,
202.155.146.0/24,SG,SG-01,Central Singapore,
202.155.147.0/24,SG,SG-01,Central Singapore,
202.155.148.0/24,SG,SG-01,Central Singapore,
202.155.149.0/24,SG,SG-01,Central Singapore,
202.155.150.0/24,SG,SG-01,Central Singapore,
202.155.151.0/24,SG,SG-01,Central Singapore,
